period,variant,return_pct,final_equity,max_drawdown_pct,stress_return_pct,windows,trade_windows,cash_only_rate,trade_window_win_rate,worst_trade_window_test_return_pct,gate_veto_window_count,avoided_loss_pct,missed_profit_pct,diplom_changed_rebalance_decisions,diplom_available_rebalance_decisions,diplom_missing_rebalance_decisions,diplom_stale_rebalance_decisions,diplom_risk_weight_pct,diplom_candidate_score_penalty_pct,diplom_gate_penalty_pct,output_dir,return_pct_baseline,final_equity_baseline,max_drawdown_pct_baseline,stress_return_pct_baseline,trade_windows_baseline,cash_only_rate_baseline,return_pct_delta_vs_baseline,final_equity_delta_vs_baseline,max_drawdown_pct_delta_vs_baseline,stress_return_pct_delta_vs_baseline,trade_windows_delta_vs_baseline,cash_only_rate_delta_vs_baseline
y2025_full_year,fresh_target_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,12,1,0.9166666666666666,0.0,-0.6190142867889881,11,84.99260684518775,52.96427305188056,211,1470,11,11,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\fresh_target_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.0,0.0,0.0,0.0,0,0.0
y2025_full_year,fresh_candidate_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,12,1,0.9166666666666666,0.0,-0.6190142867889881,11,91.39364085002782,52.52445996766248,0,1470,11,11,0.0,6.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\fresh_candidate_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.0,0.0,0.0,0.0,0,0.0
y2025_full_year,fresh_gate_only,0.0,10000.0,0.0,0.0,12,0,1.0,0.0,0.0,12,92.0126551368168,52.52445996766248,0,1470,11,11,0.0,0.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\fresh_gate_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.6190142867889881,61.90142867889881,0.6190142867889881,6.179311180576718,-1,0.0833333333333333
y2025_full_year,fresh_combined,0.0,10000.0,0.0,0.0,12,0,1.0,0.0,0.0,12,81.1046883862574,52.98354870021237,661,2102,11,11,25.0,6.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\fresh_combined,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.6190142867889881,61.90142867889881,0.6190142867889881,6.179311180576718,-1,0.0833333333333333
ydex_transition,baseline,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,66.11798453271547,4.286462174915884,0,0,0,0,0.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\baseline,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
ydex_transition,old_artifact_target_only,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,66.11798453271547,4.286462174915884,0,0,296,0,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\old_artifact_target_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
ydex_transition,fresh_target_only,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,61.24489788634835,4.286462174915884,142,288,8,0,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\fresh_target_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
ydex_transition,fresh_candidate_only,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,89.94182049446832,3.973696033083352,0,287,9,0,0.0,6.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\fresh_candidate_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
ydex_transition,fresh_gate_only,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,66.11798453271547,4.286462174915884,0,288,8,0,0.0,0.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\fresh_gate_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
ydex_transition,fresh_combined,0.0,10000.0,0.0,0.0,4,0,1.0,0.0,0.0,4,61.24639982850668,9.47151777585633,233,364,9,0,25.0,6.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\ydex_transition\fresh_combined,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
